year,month,time,Gpp_1km,p(x) - b(x),,,Total per year,Total per year per square meter
2000,1,0.083333333,213.2,229.2312464,,2000,2671.8,1546972.2
2000,2,0.166666667,200.9,227.0750903,,2001,2787.4,1613904.6
2000,3,0.25,208.4,225.0199391,,2002,2663.7,1542282.3
2000,4,0.333333333,201.4,223.0642,,2003,2514.8,1456069.2
2000,5,0.416666667,191.8,221.2062804,,2004,2958.4,1712913.6
2000,6,0.5,228.7,219.4445875,,2005,2815.2,1630000.8
2000,7,0.583333333,251.5,217.7775286,,2006,2642.5,1530007.5
2000,8,0.666666667,280.8,216.2035111,,2007,2855,1653045
2000,9,0.75,283.6,214.7209422,,2008,2836.6,1642391.4
2000,10,0.833333333,261.6,213.3282292,,2009,2323.9,1345538.1
2000,11,0.916666667,170.3,212.0237793,,2010,2849,1649571
2000,12,1,179.6,210.806,,2011,2845,1647255
2001,1,1.083333333,206.8,209.6732984,,2012,2783.7,1611762.3
2001,2,1.166666667,233.1,208.6240819,,2013,2529.5,1464580.5
2001,3,1.25,250.1,207.6567578,,2014,2429.3,1406564.7
2001,4,1.333333333,155.3,206.7697333,,,,
2001,5,1.416666667,233.4,205.9614158,,,,
2001,6,1.5,256.7,205.2302125,,,,
2001,7,1.583333333,254.2,204.5745307,,,,
2001,8,1.666666667,260.6,203.9927778,,,,
2001,9,1.75,282.1,203.4833609,,,,
2001,10,1.833333333,201.1,203.0446875,,,,
2001,11,1.916666667,251,202.6751648,,,,
2001,12,2,203,202.3732,,,,
2002,1,2.083333333,208.2,202.1372005,,,,
2002,2,2.166666667,216.5,201.9655736,,,,
2002,3,2.25,218.9,201.8567266,,,,
2002,4,2.333333333,147.1,201.8090667,,,,
2002,5,2.416666667,194.2,201.8210012,,,,
2002,6,2.5,249.2,201.8909375,,,,
2002,7,2.583333333,268.8,202.0172828,,,,
2002,8,2.666666667,259.4,202.1984444,,,,
2002,9,2.75,269.6,202.4328297,,,,
2002,10,2.833333333,202.8,202.7188458,,,,
2002,11,2.916666667,242.1,203.0549002,,,,
2002,12,3,186.9,203.4394,,,,
2003,1,3.083333333,28.1,203.8707526,,,,
2003,2,3.166666667,131.2,204.3473653,,,,
2003,3,3.25,193.8,204.8676453,,,,
2003,4,3.333333333,154.5,205.43,,,,
2003,5,3.416666667,225.9,206.0328366,,,,
2003,6,3.5,250.2,206.6745625,,,,
2003,7,3.583333333,274.3,207.3535849,,,,
2003,8,3.666666667,296.4,208.0683111,,,,
2003,9,3.75,280.7,208.8171484,,,,
2003,10,3.833333333,215.2,209.5985042,,,,
2003,11,3.916666667,254.3,210.4107856,,,,
2003,12,4,210.2,211.2524,,,,
2004,1,4.083333333,233.1,212.1217547,,,,
2004,2,4.166666667,226.5,213.0172569,,,,
2004,3,4.25,241.6,213.9373141,,,,
2004,4,4.333333333,264.6,214.8803333,,,,
2004,5,4.416666667,168.7,215.844722,,,,
2004,6,4.5,253.4,216.8288875,,,,
2004,7,4.583333333,309.1,217.831237,,,,
2004,8,4.666666667,303.5,218.8501778,,,,
2004,9,4.75,294.4,219.8841172,,,,
2004,10,4.833333333,274,220.9314625,,,,
2004,11,4.916666667,182.6,221.990621,,,,
2004,12,5,206.9,223.06,,,,
2005,1,5.083333333,258.6,224.1380068,,,,
2005,2,5.166666667,250.3,225.2230486,,,,
2005,3,5.25,229.5,226.3135328,,,,
2005,4,5.333333333,142.1,227.4078667,,,,
2005,5,5.416666667,224.5,228.5044575,,,,
2005,6,5.5,258.1,229.6017125,,,,
2005,7,5.583333333,295.1,230.6980391,,,,
2005,8,5.666666667,280.7,231.7918444,,,,
2005,9,5.75,270.4,232.8815359,,,,
2005,10,5.833333333,180.1,233.9655208,,,,
2005,11,5.916666667,225,235.0422064,,,,
2005,12,6,200.8,236.11,,,,
2006,1,6.083333333,224.9,237.1673089,,,,
