Category,ID,Latitude,Longitude,Date,MODIS_Tile,MOD16A2_006_Line_Y_500m,MOD16A2_006_Sample_X_500m,MOD16A2_006_ET_500m,MOD16A2_006_LE_500m,MOD16A2_006_PET_500m,MOD16A2_006_PLE_500m,MOD16A2_006_ET_QC_500m,MOD16A2_006_ET_QC_500m_bitmask,MOD16A2_006_ET_QC_500m_MODLAND,MOD16A2_006_ET_QC_500m_MODLAND_Description,MOD16A2_006_ET_QC_500m_Sensor,MOD16A2_006_ET_QC_500m_Sensor_Description,MOD16A2_006_ET_QC_500m_DeadDetector,MOD16A2_006_ET_QC_500m_DeadDetector_Description,MOD16A2_006_ET_QC_500m_CloudState,MOD16A2_006_ET_QC_500m_CloudState_Description,MOD16A2_006_ET_QC_500m_SCF_QC,MOD16A2_006_ET_QC_500m_SCF_QC_Description
DBF,AU-Lox,-34.4704,140.6551,2011-12-27,h29v12,1072.0,1430.0,17.100000381469727,8360000.0,48.20000076293945,23490000.0,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
DBF,AU-Lox,-34.4704,140.6551,2012-01-01,h29v12,1072.0,1430.0,19.100000381469727,5840000.0,69.0999984741211,21030000.0,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
DBF,AU-Lox,-34.4704,140.6551,2012-01-09,h29v12,1072.0,1430.0,9.90000057220459,3030000.0,75.70000457763672,23140000.0,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
DBF,AU-Lox,-34.4704,140.6551,2012-01-17,h29v12,1072.0,1430.0,29.700000762939453,9010000.0,74.0999984741211,22510000.0,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
DBF,AU-Lox,-34.4704,140.6551,2012-01-25,h29v12,1072.0,1430.0,15.5,4720000.0,66.0,20140000.0,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
DBF,AU-Lox,-34.4704,140.6551,2012-02-02,h29v12,1072.0,1430.0,19.200000762939453,5870000.0,63.0,19290000.0,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
DBF,AU-Lox,-34.4704,140.6551,2012-02-10,h29v12,1072.0,1430.0,24.0,7320000.0,59.400001525878906,18130000.0,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
DBF,AU-Lox,-34.4704,140.6551,2012-02-18,h29v12,1072.0,1430.0,21.700000762939453,6590000.0,56.79999923706055,17250000.0,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
DBF,AU-Lox,-34.4704,140.6551,2012-02-26,h29v12,1072.0,1430.0,12.800000190734863,3920000.0,41.5,12690000.0,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
DBF,AU-Lox,-34.4704,140.6551,2012-03-05,h29v12,1072.0,1430.0,20.30000114440918,6210000.0,54.5,16690000.0,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
DBF,AU-Lox,-34.4704,140.6551,2012-03-13,h29v12,1072.0,1430.0,18.100000381469727,5540000.0,48.10000228881836,14710000.0,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
DBF,AU-Lox,-34.4704,140.6551,2012-03-21,h29v12,1072.0,1430.0,12.800000190734863,3930000.0,42.79999923706055,13120000.0,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
DBF,AU-Lox,-34.4704,140.6551,2012-03-29,h29v12,1072.0,1430.0,13.100000381469727,4010000.0,44.70000076293945,13670000.0,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
DBF,AU-Lox,-34.4704,140.6551,2012-04-06,h29v12,1072.0,1430.0,7.700000286102295,2380000.0,34.400001525878906,10590000.0,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
DBF,AU-Lox,-34.4704,140.6551,2012-04-14,h29v12,1072.0,1430.0,5.900000095367432,1800000.0,39.400001525878906,12040000.0,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
