Category,ID,Latitude,Longitude,Date,MODIS_Tile,MYD17A2H_006_Line_Y_500m,MYD17A2H_006_Sample_X_500m,MYD17A2H_006_Gpp_500m,MYD17A2H_006_PsnNet_500m,MYD17A2H_006_Psn_QC_500m,MYD17A2H_006_Psn_QC_500m_bitmask,MYD17A2H_006_Psn_QC_500m_MODLAND,MYD17A2H_006_Psn_QC_500m_MODLAND_Description,MYD17A2H_006_Psn_QC_500m_Sensor,MYD17A2H_006_Psn_QC_500m_Sensor_Description,MYD17A2H_006_Psn_QC_500m_DeadDetector,MYD17A2H_006_Psn_QC_500m_DeadDetector_Description,MYD17A2H_006_Psn_QC_500m_CloudState,MYD17A2H_006_Psn_QC_500m_CloudState_Description,MYD17A2H_006_Psn_QC_500m_SCF_QC,MYD17A2H_006_Psn_QC_500m_SCF_QC_Description
DBF,AU-Lox,-34.4704,140.6551,2011-12-27,h29v12,1072.0,1430.0,0.024000000208616257,0.014499999582767487,2.0,0b00000010,0b0,Good quality,0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
DBF,AU-Lox,-34.4704,140.6551,2012-01-01,h29v12,1072.0,1430.0,0.032099999487400055,0.016699999570846558,2.0,0b00000010,0b0,Good quality,0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
DBF,AU-Lox,-34.4704,140.6551,2012-01-09,h29v12,1072.0,1430.0,0.044599998742341995,0.03519999980926514,2.0,0b00000010,0b0,Good quality,0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
DBF,AU-Lox,-34.4704,140.6551,2012-01-17,h29v12,1072.0,1430.0,0.03319999948143959,0.014499999582767487,2.0,0b00000010,0b0,Good quality,0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
DBF,AU-Lox,-34.4704,140.6551,2012-01-25,h29v12,1072.0,1430.0,0.04360000044107437,0.02630000002682209,18.0,0b00010010,0b0,Good quality,0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present in pixel,0b000,Very best possible
DBF,AU-Lox,-34.4704,140.6551,2012-02-02,h29v12,1072.0,1430.0,0.04839999973773956,0.03830000013113022,2.0,0b00000010,0b0,Good quality,0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
DBF,AU-Lox,-34.4704,140.6551,2012-02-10,h29v12,1072.0,1430.0,0.03759999945759773,0.025200000032782555,18.0,0b00010010,0b0,Good quality,0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present in pixel,0b000,Very best possible
DBF,AU-Lox,-34.4704,140.6551,2012-02-18,h29v12,1072.0,1430.0,0.026999998837709427,0.00989999994635582,2.0,0b00000010,0b0,Good quality,0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
DBF,AU-Lox,-34.4704,140.6551,2012-02-26,h29v12,1072.0,1430.0,0.01979999989271164,0.013700000010430813,2.0,0b00000010,0b0,Good quality,0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
DBF,AU-Lox,-34.4704,140.6551,2012-03-05,h29v12,1072.0,1430.0,0.047599997371435165,0.03779999911785126,2.0,0b00000010,0b0,Good quality,0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
