"time","co2"
0,315.71
0.0839999999998327,317.45
0.166999999999916,317.5
0.333999999999833,315.86
0.416999999999916,314.93
0.5,313.2
0.666999999999916,313.33
0.75,314.67
0.833999999999833,315.62
0.916999999999916,316.38
1,316.71
1.08399999999983,317.72
1.16699999999992,318.29
1.25,318.15
1.33399999999983,316.54
1.41699999999992,314.8
1.5,313.84
1.58399999999983,313.26
1.66699999999992,314.8
1.75,315.58
1.83399999999983,316.43
1.91699999999992,316.97
2,317.58
2.08399999999983,319.02
2.16699999999992,320.03
2.25,319.59
2.33399999999983,318.18
2.41699999999992,315.91
2.5,314.16
2.58399999999983,313.83
2.66699999999992,315
2.75,316.19
2.83399999999983,316.93
2.91699999999992,317.7
3,318.54
3.08399999999983,319.48
3.16699999999992,320.58
3.25,319.77
3.33399999999983,318.57
3.41699999999992,316.79
3.5,314.8
3.58399999999983,315.38
3.66699999999992,316.1
3.75,317.01
3.83399999999983,317.94
3.91699999999992,318.56
4,319.68
4.08399999999983,320.63
4.16699999999992,321.01
4.25,320.55
4.33399999999983,319.58
4.41699999999992,317.4
4.5,316.26
4.58399999999983,315.42
4.66699999999992,316.69
4.75,317.69
4.83399999999983,318.74
4.91699999999992,319.08
5,319.86
5.08399999999983,321.39
5.16699999999992,322.25
5.25,321.47
5.33399999999983,319.74
5.41699999999992,317.77
5.5,316.21
5.58399999999983,315.99
5.66699999999992,317.12
5.75,318.31
5.83399999999983,319.57
6.16699999999992,322.25
6.25,321.89
6.33399999999983,320.44
6.41699999999992,318.7
6.5,316.7
6.58399999999983,316.79
6.66699999999992,317.79
6.75,318.71
6.83399999999983,319.44
6.91699999999992,320.44
7,320.89
7.08399999999983,322.13
7.16699999999992,322.16
7.25,321.87
7.33399999999983,321.39
7.41699999999992,318.81
7.5,317.81
7.58399999999983,317.3
7.66699999999992,318.87
7.75,319.42
7.83399999999983,320.62
7.91699999999992,321.59
8,322.39
8.08399999999983,323.87
8.16699999999992,324.01
8.25,323.75
8.33399999999983,322.39
8.41699999999992,320.37
8.5,318.64
8.58399999999983,318.1
8.66699999999992,319.79
8.75,321.08
8.83399999999983,322.07
8.91699999999992,322.5
9,323.04
9.08399999999983,324.42
9.16699999999992,325
9.25,324.09
9.33399999999983,322.55
9.41699999999992,320.92
9.5,319.31
9.58399999999983,319.31
9.66699999999992,320.72
9.75,321.96
9.83399999999983,322.57
9.91699999999992,323.15
10,323.89
10.0839999999998,325.02
10.1669999999999,325.57
10.25,325.36
10.3339999999998,324.14
10.4169999999999,322.03
10.5,320.41
