TIMESTAMP,NEE_CUT_REF
19980101,0.627817
19980102,0.623152
19980103,0.564919
19980104,0.627817
19980105,0.623152
19980106,0.564919
19980107,0.627817
19980108,0.623152
19980109,0.564919
19980110,0.627817
19980111,0.623152
19980112,0.564919
19980113,0.627817
19980114,0.623152
19980115,0.564919
19980116,0.627817
19980117,0.623152
19980118,0.564919
19980119,0.627817
19980120,0.623152
19980121,0.564919
19980122,0.627817
19980123,0.623152
19980124,0.564919
19980125,0.627817
19980126,0.623152
19980127,0.564919
19980128,0.627817
19980129,0.623152
19980130,0.564919
19980131,0.627817
19980201,0.623152
19980202,0.564919
19980203,0.627817
19980204,0.623152
19980205,0.564919
19980206,0.627817
19980207,0.623152
19980208,0.564919
19980209,0.627817
19980210,0.623152
19980211,0.564919
19980212,0.627817
19980213,0.623152
19980214,0.564919
19980215,0.627817
19980216,0.623152
19980217,0.564919
19980218,0.627817
19980219,0.623152
19980220,0.564919
19980221,0.627817
19980222,0.623152
19980223,0.564919
19980224,0.627817
19980225,0.623152
19980226,0.564919
19980227,0.627817
19980228,0.623152
19980301,0.564919
19980302,0.627817
19980303,0.623152
19980304,0.564919
19980305,0.627817
19980306,0.623152
19980307,0.564919
19980308,0.627817
19980309,0.623152
19980310,0.564919
19980311,0.627817
19980312,0.623152
19980313,0.564919
19980314,0.627817
19980315,0.623152
19980316,0.564919
19980317,0.627817
19980318,0.623152
19980319,0.564919
19980320,0.627817
19980321,0.623152
19980322,0.564919
19980323,0.627817
19980324,0.623152
19980325,0.564919
19980326,0.627817
19980327,0.623152
19980328,0.564919
19980329,0.627817
19980330,0.623152
19980331,0.564919
19980401,0.627817
19980402,0.623152
19980403,0.564919
19980404,0.627817
19980405,0.623152
19980406,0.564919
19980407,0.627817
19980408,0.623152
19980409,0.564919
19980410,0.627817
19980411,0.623152
19980412,0.564919
19980413,0.627817
19980414,0.623152
19980415,0.564919
19980416,0.627817
19980417,0.623152
19980418,0.564919
19980419,0.627817
19980420,0.623152
19980421,0.564919
19980422,0.627817
19980423,0.623152
19980424,0.564919
19980425,0.627817
19980426,0.623152
19980427,0.564919
19980428,0.627817
19980429,0.623152
19980430,0.564919
19980501,0.627817
19980502,0.623152
19980503,0.564919
19980504,0.627817
19980505,0.623152
19980506,0.564919
19980507,0.627817
19980508,0.623152
19980509,0.564919
19980510,0.627817
19980511,0.623152
19980512,0.564919
19980513,0.627817
19980514,0.623152
19980515,0.564919
19980516,0.627817
19980517,0.623152
19980518,0.564919
19980519,0.627817
19980520,0.623152
19980521,0.564919
19980522,0.627817
19980523,0.623152
19980524,0.564919
19980525,0.627817
19980526,0.623152
19980527,0.564919
19980528,0.627817
19980529,0.623152
19980530,0.564919
19980531,0.627817
19980601,0.623152
19980602,0.564919
19980603,0.627817
19980604,0.623152
19980605,0.564919
19980606,0.627817
19980607,0.623152
19980608,0.564919
19980609,0.627817
19980610,0.623152
19980611,0.564919
19980612,0.627817
19980613,0.623152
19980614,0.564919
19980615,0.627817
19980616,0.623152
19980617,0.564919
19980618,0.627817
19980619,0.623152
19980620,0.564919
19980621,0.627817
19980622,0.623152
19980623,0.564919
19980624,0.627817
19980625,0.623152
19980626,0.564919
19980627,0.627817
19980628,0.623152
19980629,0.564919
